date,consignee,consignee_country,shipper,shipper_country,shipment_origin,shipment_destination,port_of_lading,port_of_lading_country,port_of_unlading_country,transport_method,goods_shipped,parcel_size_mt,weight,parcel_bin_2
2020-05-06T00:00:00Z,Concord Resources Ltd.,United Kingdom,Metalurgica Met Mex PeÑoles S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,United Kingdom,Maritime,CONCENTRADO DE ZINC,>7000t,11638.55,10000 - 12500
2020-05-05T00:00:00Z,Ocean Partners Usa Inc.,United States,Operaciones San Jose De Plata S. De R.L. De C.V.,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,438.475,0 - 2500
2020-05-02T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,<4000t,506.2,0 - 2500
2020-04-29T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,<4000t,424.83,0 - 2500
2020-04-27T00:00:00Z,Young Poong Corporation,South Korea,Metalurgica Met Mex PeÑoles S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,10011,10000 - 12500
2020-04-27T00:00:00Z,Ocean Partners Usa Inc.,United States,Mk Metal Trading Mexico S.A. De C.V.,Mexico,Mexico,Canada,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,510.899,0 - 2500
2020-04-25T00:00:00Z,Ocean Partners Usa Inc.,United States,Operaciones San Jose De Plata S. De R.L. De C.V.,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,United States,Maritime,CONCENTRADO DE ZINC,<4000t,1437.915,0 - 2500
2020-04-24T00:00:00Z,Nyrstar Sales & Marketing Ag,Switzerland,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,>7000t,11000,10000 - 12500
2020-04-23T00:00:00Z,"Korea Z Inc. Co., Ltd.",South Korea,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,>7000t,11151.87,10000 - 12500
2020-04-17T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera PeÑasquito S.A. De C.V.,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,>7000t,11300,10000 - 12500
